campaign_name,channel,spend,impressions,clicks,conversions,region,quarter,year
Spring Product Launch,email,4500,120000,4800,312,North,Q1,2023
Winter Clearance Sale,social,8200,340000,10200,285,South,Q4,2023
Back to Business Push,search,12000,95000,7600,520,East,Q3,2023
New Year Kickoff,display,6800,280000,5600,168,West,Q1,2024
Enterprise Solutions Webinar,email,3200,45000,3150,245,Central,Q2,2023
Summer Tech Expo,social,15000,520000,18200,410,North,Q3,2023
End of Year Blowout,search,18500,140000,11200,780,South,Q4,2024
SMB Starter Bundle,email,2800,68000,3400,198,East,Q1,2023
Cloud Migration Awareness,display,9500,410000,8200,195,West,Q2,2023
Cybersecurity Month Special,social,11000,380000,13300,365,Central,Q4,2023
Hardware Refresh Campaign,search,14200,110000,8800,612,North,Q2,2024
Customer Appreciation Week,email,1900,52000,3640,287,South,Q1,2024
Accessories Bundle Deal,social,5400,195000,7800,225,East,Q2,2024
Data Analytics Workshop,display,7200,310000,6200,148,West,Q3,2024
Partner Referral Program,email,2100,38000,2660,312,Central,Q1,2024
Black Friday Doorbusters,search,22000,175000,14000,980,North,Q4,2023
Holiday Gift Guide,social,16500,580000,20300,445,South,Q4,2023
Q1 Planning Tools Promo,email,3800,72000,4320,265,East,Q1,2024
Infrastructure Upgrade Push,display,8900,350000,7000,175,West,Q1,2023
Startup Growth Package,social,7600,265000,10600,310,Central,Q2,2023
Mid-Year Review Special,search,10800,88000,7040,495,North,Q2,2023
Remote Work Essentials,email,4100,95000,5700,342,South,Q2,2024
Back to School Tech,social,13200,460000,16100,355,East,Q3,2024
Premium Support Awareness,display,5600,240000,4800,112,West,Q3,2023
Compliance Toolkit Launch,email,2600,41000,2870,218,Central,Q3,2023
Cyber Monday Flash Sale,search,19800,155000,12400,868,North,Q4,2024
Year-End Inventory Clear,social,9800,340000,11900,330,South,Q4,2024
New Product Announcement,email,5200,110000,6600,396,East,Q1,2023
Network Security Bundle,display,7800,320000,6400,160,West,Q4,2024
Spring Training Series,email,3400,58000,3480,252,Central,Q1,2023
DevOps Toolkit Promotion,search,8600,72000,5760,398,North,Q3,2024
Small Business Saturday,social,6200,215000,8600,248,South,Q4,2023
Analytics Suite Free Trial,email,1800,48000,3360,285,East,Q3,2023
Server Upgrade Incentive,display,10200,390000,7800,188,West,Q2,2024
Productivity Boost Campaign,social,8800,305000,10675,295,Central,Q3,2024
January Restart Deals,search,7400,62000,4960,345,North,Q1,2024
Valentine Tech Gifts,social,4800,168000,6720,195,South,Q1,2024
Enterprise Security Summit,email,6500,82000,5740,425,East,Q4,2023
Wireless Accessories Drop,display,3900,165000,3300,82,West,Q1,2024
Tax Season Tech Prep,search,9200,78000,6240,435,Central,Q2,2024
Monitor Upgrade Event,social,7100,248000,9920,278,North,Q2,2024
Cloud Backup Awareness,email,2400,55000,3300,242,South,Q3,2024
End of Summer Sale,search,11500,92000,7360,515,East,Q3,2024
Docking Station Promo,display,4200,180000,3600,90,West,Q3,2024
October Tech Refresh,social,10500,365000,12775,352,Central,Q4,2024
Ergonomic Workspace Push,email,3100,64000,3840,268,North,Q3,2023
Holiday Prep Early Bird,search,16000,130000,10400,725,South,Q4,2024
Q3 Performance Tools,display,6400,275000,5500,138,East,Q3,2023
Startup Onboarding Special,social,5800,202000,8080,235,West,Q2,2023
Annual Subscription Renewal,email,2200,42000,2940,345,Central,Q4,2024
